序号,CAS号,UN号,中文名称,别名,"毒性a,b",燃烧爆炸特性,加压气体,其他危害c,介质与金属材料相容性提示d,反应和稳定性提示,危害提示,GHS健康和环境危害类别b,附加信息
468,7697-37-2,1906,硝酸,-,-/III,-,-,氧化性液体，类别3,硝酸腐蚀,与还原剂、可燃物等禁配物接触，有发生火灾和爆炸的危险。禁配物：还原剂、碱类、醇类、碱金属、铜、胺类、金属粉末、电石、硫化氢、松节油、可燃物（如糖、纤维素、木屑、棉花、稻草或废纱头等）。危险的分解产物：氮氧化物,可加剧燃烧，氧化剂，可引起皮肤腐蚀,皮肤腐蚀/刺激，类别1A严重眼损伤/眼刺激，类别1危害水生环境-急性危害，类别3,-
469,1712-64-7,1222,硝酸异丙酯,-,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂、强还原剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强还原剂、强酸、活性金属粉末。危险的分解产物：氮氧化物,高度易燃液体,急性毒性-吸入，类别5,-
470,625-58-1,-,硝酸乙酯,-,-,易爆介质,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：还原剂、氧化剂。危险的分解产物：氮氧化物,不稳定爆炸物,-,-
471,627-13-4,1865,硝酸正丙酯,-,IV,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：还原剂、氧化剂。危险的分解产物：氮氧化物,高度易燃液体,急性毒性-吸入，类别5特异性靶器官毒性-一次接触，类别1,-
472,14816-18-3,-,辛硫磷,O-α-氰基亚苯基氨基-O,IV/III,-,-,-,-,-,可能引起皮肤过敏,"急性毒性-经口,类别4皮肤致敏物,类别1危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
473,111-66-0,3295,1-辛烯,-,IV,"易爆介质;易燃液体,类别2",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。高温下可能发生聚合。禁配物:强氧化剂、酸类、卤代烃、卤素等。危险的分解产物:无资料","高度易燃液体,禁止催吐","急性毒性-吸入,类别4严重眼损伤/眼刺激,类别2特异性靶器官毒性-一次接触,类别3(麻醉效应)吸入危害,类别1危害水生环境-急性危害,类别2危害水生环境-长期危害,类别2",-
474,106-95-6,1099,3-溴-1-丙烯,3-溴丙烯;烯丙基溴,III,"易爆介质;易燃液体,类别2",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强碱。危险的分解产物:溴化氢","高度易燃液体,吞咽会中毒,吸入会中毒,可引起皮肤腐蚀","急性毒性-经口,类别3急性毒性-吸入,类别3皮肤腐蚀/刺激,类别1严重眼损伤/眼刺激,类别1特异性靶器官毒性-一次接触,类别3(呼吸道刺激)",-
475,108-86-1,2514,溴苯,-,-,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂。危险的分解产物：溴化氢,易燃液体,皮肤腐蚀/刺激，类别2危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
476,106-94-5,2344,1-溴丙烷,正丙基溴；溴代正丙烷,-,易爆介质；易燃液体，类别2,-,-,溴化物应力腐蚀开裂,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强碱、镁、钾、钠。危险的分解产物：溴化氢,高度易燃液体,皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2生殖毒性，类别1B特异性靶器官毒性-一次接触，类别3（呼吸道刺激、麻醉效应）特异性靶器官毒性-反复接触，类别2*危害水生环境-急性危害，类别3,-
477,109-65-9,1126,1-溴丁烷,正丁基溴；溴代正丁烷,IV,易爆介质；易燃液体，类别2,-,-,溴化物应力腐蚀开裂,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强碱、镁、钾、钠。危险的分解产物：溴化氢,高度易燃液体,急性毒性-吸入，类别4危害水生环境-急性危害，类别3,-
478,74-83-9,1062,溴甲烷,甲基溴,III*/I,易爆介质,加压气体,-,溴化物应力腐蚀开裂,"遇铝粉、碱金属、二甲亚砜有发生火灾和爆炸的危险。与活性金属粉末(如镁、铝)能发生反应,引起分解。禁配物:强氧化剂、碱金属或活性金属粉末(如镁、铝)、二甲亚砜等。危险的分解产物:溴化氢","内装加压气体,遇热可能爆炸,吞咽会中毒,吸入会中毒","急性毒性-经口,类别3*急性毒性-吸入,类别3*皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2生殖细胞致突变性,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激)特异性靶器官毒性-反复接触,类别2*危害水生环境-急性危害,类别1危害臭氧层,类别1",-
479,52918-63-5,2811,溴氰菊酯,敌杀死,III,-,-,-,-,-,"吞咽会中毒,吸入会中毒","急性毒性-经口,类别3急性毒性-吸入,类别3危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
480,74-96-4,1891,溴乙烷,乙基溴;溴代乙烷,IV,"易爆介质;易燃液体,类别2",-,-,溴化物应力腐蚀开裂,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强碱、镁。危险的分解产物:溴化氢",高度易燃液体,"急性毒性-经口,类别4急性毒性-吸入,类别4",-
481,593-60-2,1085,溴乙烯[稳定的],乙烯基溴,-,易爆介质；易燃气体，类别1；化学不稳定性气体，类别B,加压气体,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。燃烧或无抑制剂发生剧烈聚合。禁配物：强氧化剂、铜及其合金。危险的分解产物：溴化氢,极易燃液体（不稳定），内装加压气体：遇热可能爆炸，可能致癌,致癌性，类别1B,-
482,62-75-9,3382,N-亚硝基二甲胺,二甲基亚硝胺,II*/I,-,-,-,胺腐蚀、碱腐蚀、碱脆,与强氧化剂、强还原剂等禁配物发生反应。禁配物：强氧化剂、强还原剂。危险的分解产物：氮氧化物,吞咽会中毒，吸入致命，可能致癌,急性毒性-经口，类别3*急性毒性-吸入，类别2*致癌性，类别1B特异性靶器官毒性-反复接触，类别1危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
483,109-95-5,1194,亚硝酸乙酯,-,II,易爆介质；易燃气体，类别1,加压气体,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂。危险的分解产物：氮氧化物,极易燃液体，内装加压气体：遇热可能爆炸，吸入致命,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别2,-
484,96-09-3,-,氧化苯乙烯,"1,2-环氧乙基苯",IV,易爆介质,-,-,-,与氧化剂、酸类、碱类等禁配物发生反应。容易发生自聚反应。禁配物:氧化剂、酸类、碱类。危险的分解产物:无资料,可能致癌,"急性毒性-经皮,类别4严重眼损伤/眼刺激,类别2致癌性,类别1B危害水生环境-急性危害,类别2",-
485,286-20-4,-,氧化环己烯,环氧环己烷,III,"易爆介质;易燃液体,类别3",-,-,-,"与氧化剂、酸类、碱类等禁配物接触,有发生火灾和爆炸的危险。容易发生自聚反应。禁配物:氧化剂、酸类、碱类。危险的分解产物:无资料","易燃液体,皮肤接触会中毒","急性毒性-经口,类别4急性毒性-经皮,类别3",-
486,7791-23-3,2879,氧氯化硒,氯化亚硒酰;二氯氧化硒,III*/II,-,-,-,-,"与强还原剂、水等禁配物接触,有发生火灾和爆炸的危险。禁配物:强碱、碱金属、水。危险的分解产物:氯化物","吞咽会中毒,吸入会中毒","急性毒性-经口,类别3*急性毒性-吸入,类别3*特异性靶器官毒性-反复接触,类别2危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
487,74-89-5,1061,一甲胺[无水],氨基甲烷；甲胺,IV/III,易爆介质；易燃气体，类别1,加压气体,-,胺腐蚀,与强氧化剂、卤素等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、卤素、酸酐、氯仿。危险的分解产物：氨,极易燃气体，内装加压气体：遇热可能爆炸，造成严重眼损伤,"急性毒性-吸入，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别1特异性靶器官毒性一次接触,类别3(呼吸道刺激)",-
488,74-89-5,1061(无水)；1235(溶液),一甲胺,氨基甲烷；甲胺,-/III,易燃液体，类别1,-,-,胺腐蚀、碱腐蚀、碱脆,-,极易燃液体，可引起皮肤腐蚀,"皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1特异性靶器官毒性一次接触,类别3(呼吸道刺激)",-
489,630-08-0,1016,一氧化碳,-,III*/II,易燃气体，类别1,加压气体,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂。危险的分解产物：无资料,极易燃气体，内装加压气体：遇热可能爆炸，吸入会中毒,急性毒性-吸入，类别3*生殖毒性，类别1A特异性靶器官毒性-反复接触，类别1,-
490,75-04-7,1036,乙胺,氨基乙烷,III,易爆介质；易燃气体，类别1,加压气体,-,胺腐蚀、碱腐蚀、碱脆,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸。危险的分解产物：氨,极易燃气体，内装加压气体：遇热可能爆炸,严重眼损伤/眼刺激，类别2特异性靶器官毒性-一次接触，类别3(呼吸道刺激)危害水生环境-急性危害，类别3,-
491,100-41-4,1175,乙苯,乙基苯,IV/II,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、卤素等。危险的分解产物：无资料,高度易燃液体，禁止催吐,急性毒性-吸入，类别4致癌性，类别2特异性靶器官毒性-反复接触，类别2吸入危害，类别1危害水生环境-急性危害，类别2,-
492,16219-75-3,3295,乙叉降冰片烯,-,IV/III,易燃液体，类别3,-,-,-,-,易燃液体和蒸气，可能引起皮肤过敏，禁止催吐,急性毒性-经口，类别5急性毒性-吸入，类别4吸入危害，类别1皮肤腐蚀/刺激，类别2皮肤致敏物，类别1B严重眼损伤/眼刺激，类别2B生殖毒性，类别2特异性靶器官毒性-一次接触，类别1(中枢神经系统)特异性靶器官毒性-一次接触，类别2(消化道、肝脏)特异性靶器官毒性-一次接触，类别3(呼吸道刺激)特异性靶器官毒性-反复接触，类别2危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
493,151-56-4,1185,乙撑亚胺,吖丙啶；1-氮杂环丙烷；氮丙啶,I,易爆介质；易燃液体，类别2,-,-,胺腐蚀,与强氧化剂、强酸、硝酸、硫酸、盐酸、乙酸、氯磺酸、氯、二硫化碳、次氯酸钠等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、硝酸、硫酸、盐酸、乙酸、氯磺酸、氯、二硫化碳、次氯酸钠等。危险的分解产物：氮氧化物,高度易燃液体，吞咽致命，皮肤接触会致命，吸入致命，可引起皮肤腐蚀,急性毒性-经口，类别2*急性毒性-经皮，类别1急性毒性-吸入，类别2*皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1生殖细胞致突变性，类别1B致癌性，类别2危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,
494,151-56-4,1185,乙撑亚胺[稳定的],吖丙啶；氮丙啶,I,易燃液体，类别2,-,-,胺腐蚀,与强氧化剂、强酸、硝酸、硫酸、盐酸、乙酸、氯磺酸、氯、二硫化碳、次氯酸钠等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、硝酸、硫酸、盐酸、乙酸、氯磺酸、氯、二硫化碳、次氯酸钠,高度易燃液体，吞咽致命，皮肤接触会致命，吸入致命，可引起皮肤腐蚀,急性毒性-经口，类别2*急性毒性-经皮，类别1急性毒性-吸入，类别2*皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1生殖细胞致突变性，类别1B致癌性，类别2危害水生环境-急性危害，类别2危害水生环境-长期危害，类别 2,-
495,64-17-5,1170,乙醇[无水],无水酒精,-,易爆介质；易燃液体，类别2,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、酸酐、碱金属、胺类。危险的分解产物：无资料,高度易燃液体,-,-
496,107-15-3,1604,"1,2-乙二胺","1,2-二氨基乙烷；乙撑二胺",IV/III,易爆介质；易燃液体，类别3,-,-,胺腐蚀、碱腐蚀、碱脆,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。与乙酸、乙酸酐、二硫化碳、氯磺酸、盐酸、硝酸、硫酸、发烟硫酸、过氯酸等剧烈反应。禁配物：强氧化剂、酸类、酰基氯、酸酐。危险的分解产物：氨,易燃液体，可引起皮肤腐蚀，吸入可能导致过敏，可能引起皮肤过敏,急性毒性-经口，类别4急性毒性-经皮，类别4皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1呼吸道致敏物，类别1皮肤致敏物，类别1危害水生环境-急性危害，类别2危害水生环境-长期危害，类别3,-
497,107-21-1,-,乙二醇,甘醇,IV,易爆介质,,,低分子有机酸腐蚀,与强氧化剂、强酸等禁配物发生反应。禁配物：强氧化剂、强酸。危险的分解产物：无资料,-,急性毒性-经口，类别4,-
498,109-86-4,1188,乙二醇单甲醚,2-甲氧基乙醇；甲基溶纤剂,IV,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。接触空气或在光照条件下可生成具有潜在爆炸危险性的过氧化物。禁配物：强氧化剂、酸类、碱类。危险的分解产物：无资料,易燃液体,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别4生殖毒性，类别1B,-
499,110-80-5,1171,乙二醇乙醚,2-乙氧基乙醇；乙基溶纤剂,III,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。接触空气或在光照条件下可生成具有潜在爆炸危险性的过氧化物。禁配物：强氧化剂、酰基氯、酸酐。危险的分解产物：无资料,易燃液体，吸入会中毒,急性毒性-经口，类别4急性毒性-吸入，类别3生殖毒性，类别1B,-
500,95-92-1,2525,乙二酸二乙酯,草酸二乙酯；草酸乙酯,IV/III,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物：强氧化剂、强还原剂、碱、酸类、水。危险的分解产物：无资料,-,急性毒性-经口，类别4严重眼损伤/眼刺激，类别2,-
501,34256-82-1,3082,N-(2-乙基-6-甲基苯基)-N-乙氧基甲基-氯乙酰胺,乙草胺,-/II,-,-,-,胺腐蚀,-,可能引起皮肤过敏,皮肤腐蚀/刺激，类别2皮肤致敏物，类别1特异性靶器官毒性-一次接触，类别3(呼吸道刺激)危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
502,628-32-0,2615,乙基丙基醚,乙丙醚；1-乙氧基丙烷,-,易爆介质：易燃液体，类别2,-,-,-,与强氧化剂、卤素等禁配物接触，有发生火灾和爆炸的危险。接触空气或在光照条件下可生成具有潜在爆炸危险性的过氧化物。禁配物：强氧化剂、氧、卤素、过氯酸、硫、硫化物。危险的分解产物：无资料,高度易燃液体,-,-
503,97-96-1,1178,2-乙基丁醛,二乙基乙醛,IV,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂、强碱、强还原剂等禁配物接触，有发生火灾和爆炸的危险。容易发生自聚反应。禁配物：强氧化剂、强碱、强还原剂。危险的分解产物：无资料,高度易燃液体,急性毒性-经口，类别5急性毒性-经皮，类别5皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2A,-
504,4806-61-5,-,乙基环丁烷,-,无资料,易爆介质,无资料,无资料,-,无资料,无资料,无资料,-
505,1678-91-7,-,乙基环己烷,-,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、强碱、卤素。危险的分解产物：无资料,高度易燃液体，禁止催吐,吸入危害，类别1危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
506,1640-89-7,-,乙基环戊烷,-,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、强碱、卤素。危险的分解产物：无资料,高度易燃液体,-,-
507,104-75-6,2276,2-乙基己胺,3-(氨基甲基)庚烷;2-乙基-1-己胺,III,"易爆介质;易燃液体,类别3",-,-,胺腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强酸。危险的分解产物:氨","易燃液体,皮肤接触会中毒,吸入会中毒,可引起皮肤腐蚀","急性毒性-经口,类别4急性毒性-经皮,类别3急性毒性-吸入,类别3皮肤腐蚀/刺激,类别1严重眼损伤/眼刺激,类别1危害水生环境-急性危害,类别3",-
508,123-05-7,1191,乙基己醛,-,-,"易爆介质;易燃液体,类别3",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强碱。危险的分解产物:无资料","易燃液体,可能引起皮肤过敏","皮肤致敏物,类别1生殖毒性,类别2危害水生环境-急性危害,类别2",-
509,149-57-5,3265,2-乙基己酸,-,IV,易爆介质,-,-,低分子有机酸腐蚀,-,造成严重的皮肤灼伤和眼损伤,"急性毒性-经口,类别5急性毒性-经皮,类别4皮肤腐蚀/刺激,类别1C严重眼损伤/眼刺激,类别2A生殖毒性,类别1B危害水生环境-急性危害,类别3",-
510,75-05-8,1648,乙腈,甲基氰,IV/III,易爆介质；易燃液体，类别2,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、碱类、强还原剂、碱金属、硫酸、发烟硫酸、氯磺酸、过氯酸盐。危险的分解产物：氰化氢,高度易燃液体,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别4严重眼损伤/眼刺激，类别2,-
511,75-08-1,2363,乙硫醇,氢硫基乙烷；硫基乙烷；硫氢乙烷,IV/III,易爆介质；易燃液体，类别2,-,-,低分子有机酸腐蚀,与强氧化剂、酸类、碱金属等禁配物发生反应。接触酸和酸雾产生有毒气体，遇水或水蒸气反应放出有毒和易燃的气体。与次氯酸钙、氢氧化钙发生剧烈反应。禁配物：强氧化剂、酸类、碱金属。危险的分解产物：氰化硫,高度易燃液体,急性毒性-吸入，类别4危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
512,60-29-7,1155,乙醚,二乙基醚,IV,易爆介质；易燃液体，类别1,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、氧、氯、过氯酸。危险的分解产物：无资料,极易燃液体,急性毒性-经口，类别4特异性靶器官毒性-一次接触，类别3(麻醉效应),-
513,19287-45-7,1911,乙硼烷,二硼烷,I,易爆介质；易燃气体，类别1,加压气体,-,-,与强氧化剂、卤素等禁配物接触，有发生火灾和爆炸的危险。能与氟氯烷灭火剂发生猛烈反应。禁配物：强氧化剂、碱、氟、溴等卤素、水、四氯化碳。危险的分解产物：无资料,极易燃气体，内装加压气体：遇热可能爆炸，吸入致命，可引起皮肤腐蚀,急性毒性-吸入，类别1皮肤腐蚀/刺激，类别1严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别1特异性靶器官毒性-反复接触，类别1,-
514,75-07-0,1089,乙醛,-,-,易爆介质；易燃液体，类别1,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、强还原剂、强碱、卤素、氧、易燃物、氨、硫化氢、磷、胺类、醇、酮、酐、酚等。危险的分解产物：无资料,极易燃液体,严重眼损伤/眼刺激，类别2致癌性，类别2特异性靶器官毒性-一次接触，类别3(呼吸道刺激)危害水生环境-急性危害，类别3,-
515,107-29-9,2332,乙醛肟,亚乙基羟胺；亚乙基胺,III,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。会自动氧化形成具有爆炸性的过氧化物。禁配物：强氧化剂、强酸。危险的分解产物：氮氧化物、过氧化物,易燃液体，皮肤接触会中毒，吸入会中毒,急性毒性-经皮，类别3急性毒性-吸入，类别3,-
516,74-86-2,1001(溶解)；3374(无溶剂),乙炔,电石气,-/III,易爆介质；易燃气体，类别1；化学不稳定性气体，类别A,加压气体,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。能与铜、银、汞等的化合物反应生成爆炸性物质。禁配物：强氧化剂、碱金属、碱土金属、重金属(尤其是铜)、重金属盐、卤素。危险的分解产物：碳、氢,极易燃液体（不稳定），内装加压气体，遇热可能爆炸；单纯性窒息,-,-
517,64-19-7,2789,乙酸[含量>80%],醋酸；冰醋酸,-/III,易爆介质；易燃液体，类别3,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、碱类。危险的分解产物：无资料,易燃液体，可引起皮肤腐蚀,皮肤腐蚀/刺激，类别1A严重眼损伤/眼刺激，类别1,-
518,64-19-7,2790,乙酸溶液[10%<含量≤80%],醋酸溶液,-,-,-,-,低分子有机酸腐蚀,-,(1)(2)可引起皮肤腐蚀,"(1)乙酸溶液[10%<含量≤25%]:皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2(2)乙酸溶液[25%<含量≤80%]:皮肤腐蚀/刺激,类别1严重眼损伤/眼刺激,类别1",-
519,108-24-7,1715,乙酸酐,醋酸酐,IV/II,"易爆介质;易燃液体,类别3",-,-,低分子有机酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、碱类、酸类、水、醇类、强还原剂、活性金属粉末。危险的分解产物:无资料","易燃液体,可引起皮肤腐蚀","急性毒性-经口,类别4急性毒性-吸入,类别4急性毒性-经口,类别4皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性危害,类别3",-
520,622-45-7,2243,乙酸环己酯,醋酸环己酯;环己基乙酸酯,-,"易爆介质;易燃液体,类别3",-,-,低分子有机酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强碱。危险的分解产物:无资料",易燃液体,"严重眼损伤/眼刺激,类别2B特异性靶器官毒性-一次接触,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激)",-
521,79-20-9,1231,乙酸甲酯,醋酸甲酯,-,易爆介质；易燃液体，类别2,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、碱类、酸类。危险的分解产物：无资料,高度易燃液体,严重眼损伤/眼刺激，类别2特异性靶器官毒性-一次接触，类别3(麻醉效应),-
522,540-88-5,1123,乙酸叔丁酯,醋酸叔丁酯,-,易爆介质；易燃液体，类别2,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强碱、强酸。危险的分解产物：无资料,高度易燃液体,-,-
523,111-15-9,1172,乙酸乙二醇乙醚,乙酸乙基溶纤剂；乙二醇乙醚乙酸酯；2-乙氧基乙酸乙酯,IV,易爆介质；易燃液体，类别3,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、碱类、酸类。危险的分解产物：无资料,易燃液体,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别4生殖毒性，类别1B危害水生环境-急性危害，类别3,-
524,108-05-4,1301,乙酸乙烯酯[稳定的],乙烯基乙酸酯;醋酸乙烯酯,IV,"易爆介质;易燃液体,类别2",-,-,低分子有机酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。极易聚合,含有抑制剂的商品与过氧化物接触也能发生猛烈聚合。禁配物:氧化剂、碱、酸类、过氧化物。危险的分解产物:无资料",高度易燃液体,"急性毒性-吸入,类别4致癌性,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性危害,类别3危害水生环境-长期危害,类别3",-
525,141-78-6,1173,乙酸乙酯,醋酸乙酯,-,"易爆介质;易燃液体,类别2",-,-,低分子有机酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、碱类、酸类。危险的分解产物:无资料",高度易燃液体,"严重眼损伤/眼刺激,类别2特异性靶器官毒性-一次接触,类别3(麻醉效应)",-
526,108-22-5,2403,乙酸异丙烯酯,醋酸异丙烯酯,IV,"易爆介质;易燃液体,类别2",-,-,低分子有机酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。容易发生自聚反应。禁配物:强氧化剂、碱类、酸类。危险的分解产物:无资料",高度易燃液体,"急性毒性-经口,类别5皮肤腐蚀/刺激,类别3严重眼损伤/眼刺激,类别2A特异性靶器官毒性-一次接触,类别3(麻醉效应)危害水生环境-急性危害,类别3",-
527,108-21-4,1220,乙酸异丙酯,醋酸异丙酯,-,易爆介质；易燃液体，类别2,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、碱类、酸类。危险的分解产物：无资料,高度易燃液体,严重眼损伤/眼刺激，类别2特异性靶器官毒性一次接触，类别3（麻醉效应）,-
528,110-19-0,1213,乙酸异丁酯,醋酸异丁酯,-,易爆介质；易燃液体，类别2,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、强碱。危险的分解产物：无资料,高度易燃液体,-,-
529,123-92-2,1104,乙酸异戊酯,醋酸异戊酯；香蕉水,-,易爆介质；易燃液体，类别3,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：氧化剂、强酸、卤素。危险的分解产物：无资料,易燃液体,危害水生环境-急性危害，类别3,-
530,109-60-4,1276,乙酸正丙酯,醋酸正丙酯,-,易爆介质；易燃液体，类别2,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、碱类、酸类。危险的分解产物：无资料,高度易燃液体,严重眼损伤/眼刺激，类别2特异性靶器官毒性一次接触，类别3（麻醉效应）危害水生环境-急性危害，类别3,-
531,123-86-4,1123,乙酸正丁酯,醋酸正丁酯,-,易爆介质；易燃液体，类别3,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、碱类、酸类。危险的分解产物：无资料,易燃液体,特异性靶器官毒性-一次接触，类别3（麻醉效应）危害水生环境-急性危害，类别3,-
532,628-63-7,1104,乙酸正戊酯,醋酸正戊酯,-,易爆介质；易燃液体，类别3,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、强碱。危险的分解产物：无资料,易燃液体,危害水生环境-急性危害，类别3,-
533,105-46-4,1123,乙酸仲丁酯,醋酸仲丁酯；醋酸第二酯,-,易爆介质；易燃液体，类别2,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、强碱。危险的分解产物：无资料,高度易燃液体,-,-
534,74-84-0,1035;1961(液化),乙烷,-,-,"易爆介质;易燃气体,类别1",加压气体,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强酸、强碱、卤素。危险的分解产物:无资料","极易燃气体,内装加压气体;遇热可能爆炸;单纯性窒息",-,-
535,74-85-1,1962;1038(液化),乙烯,-,-,"易爆介质;易燃气体,类别1",加压气体,-,-,"与强氧化剂、卤素等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强酸、氯化铝、金属氧化物、卤素等。危险的分解产物:无资料","极易燃气体,内装加压气体:遇热可能爆炸;单纯性窒息","特异性靶器官毒性一次接触,类别3(麻醉效应)",-
